,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
10,1610612754,Indiana Pacers,13,9,4,0.692,48.4,33.4,80.5,0.415,5.2,14.1,0.372,20.8,26.3,0.789,13.3,31.9,45.2,17.3,15.6,9.4,5.8,5.4,21.8,22.3,92.8,3.6,25,10,3,7,6,25,17,27,22,25,7,4,7,3,3,10,2,28,20,7,5,15,25,6,20,9,10,Indiana Pacers,2012-01-19,2011-12
11,1610612746,Los Angeles Clippers,12,8,4,0.667,48.4,36.2,80.6,0.449,6.6,20.1,0.328,18.0,27.4,0.657,11.4,28.9,40.3,21.8,13.1,7.9,5.3,3.3,20.5,23.8,96.9,0.8,30,13,3,8,5,13,15,14,12,8,18,12,3,30,12,27,26,8,2,16,10,1,15,1,9,15,10,Los Angeles Clippers,2012-01-19,2011-12
12,1610612747,Los Angeles Lakers,16,10,6,0.625,48.3,35.9,78.9,0.455,3.9,15.5,0.254,17.2,22.9,0.751,11.3,33.9,45.1,22.1,15.8,6.0,5.1,3.6,20.2,20.7,92.9,2.9,1,4,12,12,16,16,22,7,26,20,30,15,16,11,14,2,3,5,23,26,14,4,13,15,19,11,10,Los Angeles Lakers,2012-01-19,2011-12
13,1610612763,Memphis Grizzlies,13,7,6,0.538,48.0,37.2,82.0,0.454,3.2,10.6,0.297,15.9,22.2,0.719,12.1,30.5,42.5,18.5,15.2,10.1,4.8,6.3,19.2,20.4,93.5,0.4,25,16,12,15,17,6,9,8,30,30,25,20,19,24,7,22,14,24,14,2,20,29,8,16,17,16,10,Memphis Grizzlies,2012-01-19,2011-12
14,1610612748,Miami Heat,14,10,4,0.714,49.8,40.1,81.9,0.49,6.1,15.1,0.406,20.1,27.6,0.729,10.4,32.9,43.3,22.6,17.1,10.0,5.1,4.6,22.5,22.3,106.6,8.2,15,4,3,4,1,1,11,1,17,21,2,5,2,22,22,3,11,3,30,3,12,9,27,7,1,3,10,Miami Heat,2012-01-19,2011-12
15,1610612749,Milwaukee Bucks,13,4,9,0.308,48.0,35.9,83.3,0.431,6.0,19.2,0.312,14.0,18.3,0.765,12.0,27.8,39.8,21.6,15.4,8.3,4.6,5.6,21.2,19.2,91.8,-4.2,25,24,21,24,17,15,6,20,18,12,22,29,29,9,8,28,27,9,16,13,23,22,20,21,23,23,10,Milwaukee Bucks,2012-01-19,2011-12
16,1610612750,Minnesota Timberwolves,14,6,8,0.429,48.0,33.7,78.9,0.427,7.6,22.6,0.335,19.6,26.3,0.745,11.9,31.7,43.6,17.4,16.9,7.9,4.2,5.9,20.3,22.5,94.6,2.1,15,17,18,18,17,23,21,24,3,3,16,7,8,16,10,12,9,27,29,17,26,24,14,4,15,13,10,Minnesota Timberwolves,2012-01-19,2011-12
17,1610612751,New Jersey Nets,15,4,11,0.267,48.0,32.9,78.7,0.418,9.5,26.0,0.367,17.2,22.3,0.772,12.0,27.0,39.0,19.6,15.6,7.3,4.0,5.9,21.1,21.0,92.5,-8.2,4,24,25,25,17,28,24,26,2,1,9,14,18,8,8,29,29,21,19,19,27,26,19,14,21,26,10,New Jersey Nets,2012-01-19,2011-12
18,1610612740,New Orleans Hornets,15,3,12,0.2,48.3,34.0,78.9,0.431,3.5,12.6,0.275,15.3,20.5,0.749,12.7,31.6,44.3,18.9,15.7,7.1,5.3,5.9,21.3,18.9,86.8,-4.9,4,27,27,27,13,21,23,21,29,29,28,23,24,12,5,14,5,22,22,21,9,26,23,24,28,24,10,New Orleans Hornets,2012-01-19,2011-12
19,1610612752,New York Knicks,14,6,8,0.429,48.0,32.9,79.7,0.413,6.9,22.4,0.307,20.8,26.4,0.789,10.8,30.7,41.5,18.1,15.9,9.9,3.9,5.4,22.1,22.3,93.5,-1.4,15,17,18,18,17,27,19,28,8,4,24,3,6,4,20,20,20,26,24,4,28,18,26,7,18,20,10,New York Knicks,2012-01-19,2011-12
20,1610612760,Oklahoma City Thunder,15,12,3,0.8,48.0,35.7,76.1,0.468,6.7,18.7,0.361,22.1,27.3,0.812,9.3,32.7,41.9,18.3,15.9,7.4,6.5,4.4,21.5,21.1,100.2,4.5,4,2,1,2,17,17,29,5,9,15,10,1,4,2,29,4,16,25,25,18,2,7,24,13,4,7,10,Oklahoma City Thunder,2012-01-19,2011-12
21,1610612753,Orlando Magic,14,10,4,0.714,48.4,35.4,77.7,0.455,9.9,24.8,0.398,16.7,25.4,0.657,10.9,31.9,42.7,21.1,14.5,6.0,3.7,3.8,18.6,22.6,97.3,4.9,15,4,3,4,8,19,26,6,1,2,3,18,12,29,18,11,13,14,9,26,29,5,6,3,7,6,10,Orlando Magic,2012-01-19,2011-12
22,1610612755,Philadelphia 76ers,14,10,4,0.714,48.4,39.6,83.7,0.473,6.5,17.1,0.379,15.4,20.9,0.736,9.5,34.6,44.1,21.9,12.1,9.4,5.4,4.6,17.9,18.6,101.0,13.6,15,4,3,4,8,2,3,3,14,18,6,22,22,20,27,1,6,7,1,6,7,9,3,26,3,1,10,Philadelphia 76ers,2012-01-19,2011-12
23,1610612756,Phoenix Suns,14,5,9,0.357,48.0,36.4,80.7,0.451,6.6,19.1,0.343,14.4,18.4,0.786,9.7,31.0,40.7,21.2,14.1,6.5,4.8,3.4,20.0,19.7,93.9,-2.6,15,20,21,21,17,8,14,10,13,13,15,26,28,5,24,19,25,13,7,25,19,3,11,18,16,21,10,Phoenix Suns,2012-01-19,2011-12
24,1610612757,Portland Trail Blazers,14,8,6,0.571,48.4,36.3,83.5,0.435,5.9,18.8,0.316,18.8,24.0,0.783,10.9,30.6,41.5,21.6,13.5,8.8,5.1,4.9,21.2,21.9,97.3,2.6,15,13,12,13,8,12,5,18,19,14,20,9,13,6,18,21,20,11,3,9,12,12,22,10,7,12,10,Portland Trail Blazers,2012-01-19,2011-12
25,1610612758,Sacramento Kings,15,5,10,0.333,48.0,32.6,83.7,0.389,5.4,20.9,0.258,19.7,26.9,0.73,15.1,28.9,44.0,14.7,15.7,8.4,4.3,5.4,18.9,22.4,90.3,-10.6,4,20,24,23,17,29,2,30,21,6,29,6,5,21,1,26,7,30,21,11,25,16,7,5,25,28,10,Sacramento Kings,2012-01-19,2011-12
26,1610612759,San Antonio Spurs,15,10,5,0.667,48.7,38.7,82.7,0.469,7.5,19.7,0.383,14.6,20.5,0.711,10.0,31.4,41.4,23.1,14.0,6.8,4.7,5.0,17.7,19.3,99.6,3.5,4,4,9,8,4,3,8,4,4,11,5,25,23,27,23,16,22,2,6,24,22,13,2,20,5,10,10,San Antonio Spurs,2012-01-19,2011-12
27,1610612761,Toronto Raptors,15,4,11,0.267,48.0,32.6,76.2,0.428,5.1,16.6,0.309,14.8,19.5,0.758,9.7,32.1,41.7,19.9,15.5,5.7,4.9,4.5,24.2,17.7,85.1,-7.0,4,24,25,25,17,29,28,23,23,19,23,24,25,10,25,8,18,20,18,30,16,8,29,29,29,25,10,Toronto Raptors,2012-01-19,2011-12
28,1610612762,Utah Jazz,14,9,5,0.643,48.4,36.4,80.6,0.451,3.6,12.6,0.282,19.1,25.7,0.742,11.3,31.7,43.0,20.9,13.6,8.6,6.3,5.4,23.5,21.6,95.4,1.9,15,10,9,11,8,9,16,12,28,28,27,8,10,18,13,12,12,17,4,10,3,18,28,11,13,14,10,Utah Jazz,2012-01-19,2011-12
29,1610612764,Washington Wizards,14,2,12,0.143,48.0,33.9,83.1,0.408,3.9,13.5,0.291,15.8,22.1,0.715,11.9,30.2,42.1,16.1,15.5,8.4,7.6,5.3,19.9,19.4,87.6,-10.8,15,30,27,30,17,22,7,29,27,26,26,21,20,26,10,23,15,29,17,12,1,14,10,19,27,30,10,Washington Wizards,2012-01-19,2011-12
